Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Africa,,1965,2106.226318359375,0,128.43716430664062
Africa,,1966,2142.466309,0,139.71664428710938
Africa,,1967,2106.05127,0,142.2195587158203
Africa,,1968,2153.038086,0,162.1884002685547
Africa,,1969,2134.460938,0,184.4984588623047
Africa,,1970,2228.793212890625,0,224.79962158203125
Africa,,1971,2345.902832,0,207.63607788085938
Africa,,1972,2401.941895,0,230.25877380371094
Africa,,1973,2539.615966796875,0,237.20370483398438
Africa,,1974,2571.472412109375,0,262.6702575683594
Africa,,1975,2655.391357421875,0,270.28582763671875
Africa,,1976,2803.359130859375,0,291.4169006347656
Africa,,1977,2865.164063,0,311.4089355
Africa,,1978,2902.653564453125,0,305.3960876464844
Africa,,1979,3080.913330078125,0,317.81243896484375
Africa,,1980,3248.855224609375,0,301.2644043
Africa,,1981,3567.628173828125,0,304.31549072265625
Africa,,1982,3716.288818359375,0,296.03680419921875
Africa,,1983,3759.208740234375,0,259.4692687988281
Africa,,1984,3758.453125,20.881872177124023,248.0632781982422
Africa,,1985,3778.712646484375,27.489377975463867,268.0894470214844
Africa,,1986,3734.039551,44.26268768310547,271.4903869628906
Africa,,1987,3779.601806640625,30.148555755615234,253.31907653808594
Africa,,1988,3912.000244140625,49.88538360595703,268.6760254
Africa,,1989,3799.46582,51.3332634,274.262207
Africa,,1990,3837.118652,38.03311538696289,272.43096923828125
Africa,,1991,3713.794677734375,40.08106231689453,280.89007568359375
Africa,,1992,3687.85791,39.660438537597656,261.3713684082031
Africa,,1993,3614.23291,30.190784454345703,250.0659942626953
Africa,,1994,3643.115478515625,39.33885192871094,247.1955566
Africa,,1995,3695.255615234375,44.70666504,250.7676239013672
Africa,,1996,3689.875732421875,45.43582534790039,255.88352966308594
Africa,,1997,3669.404052734375,47.610801696777344,256.2284851074219
Africa,,1998,3624.740723,49.96268844604492,262.07879638671875
Africa,,1999,3644.441162109375,46.020198822021484,270.8041076660156
Africa,,2000,3626.382813,45.520084381103516,283.8208008
Africa,,2001,3662.555419921875,36.367462158203125,296.20391845703125
Africa,,2002,3622.928466796875,39.45222091674805,301.5036315917969
Africa,,2003,3729.866455078125,40.40186309814453,285.6264343261719
Africa,,2004,3903.081298828125,41.34678268432617,293.90911865234375
Africa,,2005,3822.252685546875,33.86880874633789,290.1912841796875
Africa,,2006,3802.404052734375,29.147235870361328,293.86871337890625
Africa,,2007,3848.763916015625,31.88634682,292.5760803222656
Africa,,2008,3990.121582,35.504974365234375,289.8766174316406
Africa,,2009,3951.291504,33.87653732299805,289.6737060546875
Africa,,2010,3956.288574,34.66577148,305.1167907714844
Africa,,2011,3884.057861328125,32.02717971801758,305.0354309082031
Africa,,2012,3940.343505859375,31.17785072,298.48419189453125
Africa,,2013,3936.927734,32.849449157714844,307.8384094238281
Africa,,2014,3930.343017578125,31.116260528564453,321.6882629394531
Africa,,2015,3927.089844,26.743396759033203,318.9878845214844
Africa,,2016,3930.378906,31.820785522460938,312.4200439453125
Africa,,2017,3911.601318359375,29.131099700927734,330.6317138671875
Africa,,2018,3891.03418,23.04189682006836,348.2820739746094
Africa,,2019,3855.378418,26.291257858276367,363.4038086
Africa,,2020,3509.572021484375,26.223466873168945,376.6154479980469
Africa,,2021,3637.529541015625,19.05712127685547,386.4183349609375
Algeria,DZA,1965,1884.318115234375,0,94.24006652832031
Algeria,DZA,1966,2230.770263671875,0,81.35794830322266
Algeria,DZA,1967,2036.534668,0,91.32682800292969
Algeria,DZA,1968,2099.025391,0,121.84104919433594
Algeria,DZA,1969,2309.227294921875,0,75.91338348388672
Algeria,DZA,1970,2422.666016,0,118.56584167480469
Algeria,DZA,1971,2605.996337890625,0,65.61254119873047
Algeria,DZA,1972,2825.079345703125,0,95.75496673583984
Algeria,DZA,1973,3248.094970703125,0,141.5454864501953
Algeria,DZA,1974,3556.829833984375,0,91.00389862060547
Algeria,DZA,1975,4178.770508,0,58.40015411376953
Algeria,DZA,1976,4737.960938,0,67.32309723
Algeria,DZA,1977,5085.462891,0,45.23884582519531
Algeria,DZA,1978,6221.443359,0,40.837276458740234
Algeria,DZA,1979,7919.417969,0,46.14398956298828
Algeria,DZA,1980,9176.263672,0,39.535926818847656
Algeria,DZA,1981,10800.07617,0,54.59251022338867
Algeria,DZA,1982,12061.64941,0,69.2516861
Algeria,DZA,1983,12807.94922,0,32.930362701416016
Algeria,DZA,1984,11894.16602,0,61.41265106201172
